Order ID,Order Date,CustomerName,State,City,Order ID.1,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Year,Month,Quarter,Day,Weekday,Profit_Margin_%,Avg_Price,Order_Type,Profit_Status,Customer_Total_Spend,Total_Orders,Customer_Total_Profit,Customer_Segment,Profit_Category,Average_Customer_Spend,Estimated_CLV,Discount_Impact,Sales_Performance
B-26055,2018-03-10,Harivansh,Uttar Pradesh,Mathura,B-25681,1096,658,7,Electronics,Electronic Games,COD,2018.0,March,1.0,10.0,Saturday,60.04,156.57,Low Value,Profit,1096,1,658,Low Value,High Profit,1096.0,1096.0,Low,Average
B-25993,2018-02-03,Madhav,Delhi,Delhi,B-26055,5729,64,14,Furniture,Chairs,EMI,2018.0,February,1.0,3.0,Saturday,1.12,409.21,Medium Value,Profit,5735,2,61,Low Value,Medium Profit,2867.5,5735.0,Low,Good
B-25973,2018-01-24,Madan Mohan,Uttar Pradesh,Mathura,B-25955,2927,146,8,Furniture,Bookcases,EMI,2018.0,January,1.0,24.0,Wednesday,4.99,365.88,Low Value,Profit,4549,2,241,Low Value,Medium Profit,2274.5,4549.0,Low,Average
B-25923,2018-12-27,Gopal,Maharashtra,Mumbai,B-26093,2847,712,8,Electronics,Printers,Credit Card,2018.0,December,4.0,27.0,Thursday,25.01,355.88,Low Value,Profit,2847,1,712,Low Value,High Profit,2847.0,2847.0,Low,Average
B-25757,2018-08-21,Vishakha,Madhya Pradesh,Indore,B-25602,2617,1151,4,Electronics,Phones,Credit Card,2018.0,August,3.0,21.0,Tuesday,43.98,654.25,Low Value,Profit,4471,2,1584,Low Value,High Profit,2235.5,4471.0,Low,Average
B-25967,2018-01-21,Sudevi,Uttar Pradesh,Prayagraj,B-25881,2244,247,4,Clothing,Trousers,Credit Card,2018.0,January,1.0,21.0,Sunday,11.01,561.0,Low Value,Profit,2244,1,247,Low Value,Medium Profit,2244.0,2244.0,Low,Average
B-25955,2018-01-16,Shiva,Maharashtra,Pune,B-25696,275,-275,4,Clothing,Saree,COD,2018.0,January,1.0,16.0,Tuesday,-100.0,68.75,Low Value,Loss,275,1,-275,Low Value,Loss,275.0,275.0,High,Average
B-26093,2018-03-27,Sarita,Maharashtra,Pune,B-25687,387,-213,5,Clothing,Saree,UPI,2018.0,March,1.0,27.0,Tuesday,-55.04,77.4,Low Value,Loss,459,3,-219,Low Value,Loss,153.0,459.0,High,Average
B-25798,2018-10-01,Shishu,Andhra Pradesh,Hyderabad,B-25643,50,-44,2,Clothing,Hankerchief,UPI,2018.0,October,4.0,1.0,Monday,-88.0,25.0,Low Value,Loss,50,1,-44,Low Value,Loss,50.0,50.0,High,Average
B-25602,2018-04-01,Vrinda,Maharashtra,Pune,B-25851,135,-54,5,Clothing,Kurti,COD,2018.0,April,2.0,1.0,Sunday,-40.0,27.0,Low Value,Loss,806,2,-363,Low Value,Loss,403.0,806.0,High,Average
B-25858,2018-11-13,Uudhav,Maharashtra,Mumbai,B-25703,231,-190,9,Clothing,Hankerchief,COD,2018.0,November,4.0,13.0,Tuesday,-82.25,25.67,Low Value,Loss,231,1,-190,Low Value,Loss,231.0,231.0,High,Average
B-25969,2018-01-21,Shreyshi,Gujarat,Surat,B-25887,2125,-234,6,Electronics,Printers,EMI,2018.0,January,1.0,21.0,Sunday,-11.01,354.17,Low Value,Loss,2125,1,-234,Low Value,Loss,2125.0,2125.0,High,Average
B-26099,2018-03-30,Bhishm,Maharashtra,Mumbai,B-25923,3873,-891,6,Electronics,Phones,Credit Card,2018.0,March,1.0,30.0,Friday,-23.01,645.5,Low Value,Loss,4865,3,-984,Low Value,Loss,1621.67,4865.01,High,Average
B-25997,2018-02-04,Yogesh,Maharashtra,Pune,B-25756,729,-492,5,Furniture,Bookcases,UPI,2018.0,February,1.0,4.0,Sunday,-67.49,145.8,Low Value,Loss,1408,4,-423,Low Value,Loss,352.0,1408.0,High,Average
B-25881,2018-11-25,Lalita,Uttar Pradesh,Mathura,B-25761,2188,1050,5,Furniture,Bookcases,Credit Card,2018.0,November,4.0,25.0,Sunday,47.99,437.6,Low Value,Profit,2188,1,1050,Low Value,High Profit,2188.0,2188.0,Low,Average
B-25761,2018-08-25,Madhav,Uttar Pradesh,Mathura,B-25655,6,-3,1,Clothing,Hankerchief,UPI,2018.0,August,3.0,25.0,Saturday,-50.0,6.0,Low Value,Loss,5735,2,61,Low Value,Loss,2867.5,5735.0,High,Average
B-25887,2018-12-01,Vishakha,Uttar Pradesh,Prayagraj,B-25786,1854,433,5,Furniture,Bookcases,Credit Card,2018.0,December,4.0,1.0,Saturday,23.35,370.8,Low Value,Profit,4471,2,1584,Low Value,Medium Profit,2235.5,4471.0,Low,Average
B-25823,2018-10-18,Rohan,Maharashtra,Mumbai,B-26095,6,1,1,Clothing,Kurti,UPI,2018.0,October,4.0,18.0,Thursday,16.67,6.0,Low Value,Profit,1269,4,513,Low Value,Medium Profit,317.25,1269.0,Low,Average
B-25853,2018-11-08,Gaurav,Gujarat,Ahmedabad,B-25853,2093,721,5,Furniture,Chairs,Credit Card,2018.0,November,4.0,8.0,Thursday,34.45,418.6,Low Value,Profit,2348,2,797,Low Value,High Profit,1174.0,2348.0,Low,Average
B-25862,2018-11-15,Amol,Bihar,Patna,B-25735,7,-1,2,Clothing,Skirt,UPI,2018.0,November,4.0,15.0,Thursday,-14.29,3.5,Low Value,Loss,7,1,-1,Low Value,Loss,7.0,7.0,High,Average
B-25830,2018-10-26,Aastha,Himachal Pradesh,Simla,B-25910,1622,-624,5,Furniture,Tables,Credit Card,2018.0,October,4.0,26.0,Friday,-38.47,324.4,Low Value,Loss,1622,1,-624,Low Value,Loss,1622.0,1622.0,High,Average
B-25786,2018-09-19,Madan Mohan,Uttar Pradesh,Mathura,B-25950,1622,95,5,Electronics,Printers,Credit Card,2018.0,September,3.0,19.0,Wednesday,5.86,324.4,Low Value,Profit,4549,2,241,Low Value,Medium Profit,2274.5,4549.0,Low,Average
B-25686,2018-06-11,Pooja,Himachal Pradesh,Simla,B-25744,373,254,6,Electronics,Printers,UPI,2018.0,June,2.0,11.0,Monday,68.1,62.17,Low Value,Profit,823,4,236,Low Value,Medium Profit,205.75,823.0,Low,Average
B-26022,2018-02-18,Shrichand,Punjab,Chandigarh,B-25845,82,-33,4,Clothing,Kurti,COD,2018.0,February,1.0,18.0,Sunday,-40.24,20.5,Low Value,Loss,1824,3,1091,Low Value,Loss,608.0,1824.0,High,Average
B-26003,2018-02-08,Hitesh,Madhya Pradesh,Bhopal,B-26001,8,2,2,Clothing,Skirt,UPI,2018.0,February,1.0,8.0,Thursday,25.0,4.0,Low Value,Profit,8,1,2,Low Value,Medium Profit,8.0,8.0,Low,Average
B-25755,2018-08-19,Shourya,Kerala,Thiruvananthapuram,B-25830,1954,782,3,Electronics,Phones,Credit Card,2018.0,August,3.0,19.0,Sunday,40.02,651.33,Low Value,Profit,1954,1,782,Low Value,High Profit,1954.0,1954.0,Low,Average
B-25902,2018-12-10,Ishpreet,Maharashtra,Mumbai,B-25842,1543,370,8,Electronics,Printers,Credit Card,2018.0,December,4.0,10.0,Monday,23.98,192.88,Low Value,Profit,1543,1,370,Low Value,Medium Profit,1543.0,1543.0,Low,Average
B-25935,2018-01-04,Sudhir,Nagaland,Kohima,B-25778,1506,-266,6,Electronics,Printers,Credit Card,2018.0,January,1.0,4.0,Thursday,-17.66,251.0,Low Value,Loss,1506,1,-266,Low Value,Loss,1506.0,1506.0,High,Average
B-25797,2018-09-30,Sauptik,Madhya Pradesh,Indore,B-25686,1829,-56,6,Furniture,Tables,Credit Card,2018.0,September,3.0,30.0,Sunday,-3.06,304.83,Low Value,Loss,1829,1,-56,Low Value,Loss,1829.0,1829.0,High,Average
B-25639,2018-04-27,Lisha,Madhya Pradesh,Bhopal,B-25754,9,-1,3,Clothing,Skirt,UPI,2018.0,April,2.0,27.0,Friday,-11.11,3.0,Low Value,Loss,63,2,7,Low Value,Loss,31.5,63.0,High,Average
B-25681,2018-06-04,Bhawna,Madhya Pradesh,Indore,B-26048,1461,202,5,Furniture,Tables,EMI,2018.0,June,2.0,4.0,Monday,13.83,292.2,Low Value,Profit,1461,1,202,Low Value,Medium Profit,1461.0,1461.0,Low,Average
B-25909,2018-12-13,Sujay,Maharashtra,Pune,B-25816,391,113,8,Clothing,Stole,COD,2018.0,December,4.0,13.0,Thursday,28.9,48.88,Low Value,Profit,391,1,113,Low Value,Medium Profit,391.0,391.0,Low,Average
B-25910,2018-12-14,Jay,Delhi,Delhi,B-26022,1824,1303,8,Electronics,Phones,Credit Card,2018.0,December,4.0,14.0,Friday,71.44,228.0,Low Value,Profit,1824,1,1303,Low Value,High Profit,1824.0,1824.0,Low,Average
B-25950,2018-01-13,Shruti,Madhya Pradesh,Indore,B-25883,16,-15,4,Clothing,Hankerchief,UPI,2018.0,January,1.0,13.0,Saturday,-93.75,4.0,Low Value,Loss,2735,4,101,Low Value,Loss,683.75,2735.0,High,Average
B-25613,2018-04-12,Mohan,Haryana,Chandigarh,B-26003,1745,122,2,Furniture,Tables,Credit Card,2018.0,April,2.0,12.0,Thursday,6.99,872.5,Low Value,Profit,2438,2,376,Low Value,Medium Profit,1219.0,2438.0,Low,Average
